Date,Open,High,Low,Close,Adj Close,Volume
2013-06-11,37.5,37.5,37.349998,37.375,36.170807,5491504
2013-06-12,37.474998,37.474998,37.375,37.400002,36.195,1439660
2013-06-13,37.349998,37.400002,37.299999,37.349998,36.14661,5803900
2013-06-14,37.5,37.5,37.325001,37.375,36.170807,145274
2013-06-17,37.5,37.875,37.5,37.599998,36.388554,1291490
2013-06-18,37.724998,37.75,37.375,37.450001,36.243385,1269372
2013-06-19,37.650002,39.924999,37.525002,39.275002,38.00959,1278440
2013-06-20,39.099998,40.674999,38.700001,39.950001,38.662842,1299438
2013-06-21,40.75,40.75,39.625,40.424999,39.122536,985590
2013-06-24,40,40.5,40,40.025002,38.735428,317082
2013-06-25,40,40.125,39.625,40,38.711227,252714
2013-06-26,40,40.325001,39.900002,39.950001,38.662842,92710
2013-06-27,40.450001,40.450001,39.674999,39.875,38.590256,65668
2013-06-28,39.900002,40.299999,39.525002,39.849998,38.566063,1232558
2013-07-01,40,40.5,39.849998,40.099998,38.80801,1161864
2013-07-02,40.325001,40.325001,39.825001,39.849998,38.566063,579750
2013-07-03,39.849998,40.200001,39.650002,39.75,38.469284,416872
2013-07-04,40.150002,40.150002,39.724998,39.75,38.469284,1711354
2013-07-05,40,40,39.625,39.724998,38.445091,1842176
2013-07-08,39.974998,40,39.700001,39.75,38.469284,1141552
2013-07-09,40.400002,40.400002,39.799999,40.049999,38.759613,1891024
2013-07-10,40.025002,41,39.875,40.549999,39.243507,1207408
2013-07-11,40.75,41.674999,40.650002,41.525002,40.187096,897644
2013-07-12,42,42.5,41.849998,42.349998,40.985508,416040
2013-07-15,42.450001,42.950001,42.125,42.275002,40.91293,222068
2013-07-16,41.5,42.075001,41.174999,41.775002,40.429039,1455850
2013-07-17,41.775002,42.299999,41,41.25,39.920956,773598
2013-07-18,41.275002,41.349998,40.5,40.75,39.437065,517182
2013-07-19,41.25,41.474998,40.224998,40.375,39.074146,243634
2013-07-22,40.375,41.950001,39.5,39.575001,38.299923,741574
2013-07-23,39.599998,40.924999,38,39.900002,38.614449,889022
2013-07-24,39.75,40.25,39,39.400002,38.130558,1095886
2013-07-25,39.474998,39.950001,38.5,38.924999,37.670864,237496
2013-07-26,38.849998,39.224998,38.150002,38.525002,37.283756,1289916
2013-07-29,39,39,30.825001,33.025002,31.960958,2857176
2013-07-30,32.575001,35,26.424999,26.424999,25.573605,1562758
2013-07-31,23.799999,25.475,23.799999,23.799999,23.03318,2113836
2013-08-01,22.5,26.174999,21.549999,26.15,25.307467,1807874
2013-08-02,27.35,28.75,26.525,28.725,27.799501,1317832
2013-08-05,29.9,31.575001,29.25,31.35,30.339928,1229324
2013-08-06,31.6,33.700001,31.25,32.974998,31.912573,1392284
2013-08-07,33.150002,34.450001,33.150002,33.950001,32.856159,512484
2013-08-08,34.224998,34.5,32.5,32.775002,31.719013,832940
2013-08-12,32.75,33.5,32.525002,32.875,31.81579,752952
2013-08-13,32.900002,33.349998,32.599998,32.799999,31.743206,548360
2013-08-14,33.325001,33.325001,32.5,32.625,31.573845,454250
2013-08-16,32.625,33.099998,31.799999,32.049999,31.017372,379388
2013-08-19,32.450001,32.549999,32,32.474998,31.42868,824172
2013-08-20,32.525002,33,32.174999,32.799999,31.743206,1008540
2013-08-21,32.825001,33.950001,32.825001,33.450001,32.372265,1099614
2013-08-22,33.450001,33.950001,33.299999,33.549999,32.46904,1742146
2013-08-23,33.549999,34.049999,33.5,33.924999,32.831963,771318
2013-08-26,33.849998,34.5,33.849998,34.150002,33.049713,517288
2013-08-27,33.625,35,33.575001,34.900002,33.775551,1235498
2013-08-28,35.150002,36,35.125,35.724998,34.573967,1393144
2013-08-29,36.375,36.724998,36.025002,36.400002,35.227219,998652
2013-08-30,36.75,37.549999,35.75,37.200001,36.001442,1690408
2013-09-02,37.724998,39,37.400002,38.325001,37.290688,628536
2013-09-03,39.599998,39.599998,38.75,38.974998,37.923138,574892
2013-09-04,39,39.349998,39,39.099998,38.044769,1134714
2013-09-05,39.125,40,39.125,39.950001,38.87183,542268
2013-09-06,40.25,40.424999,40,40.099998,39.017784,852178
2013-09-10,40.025002,40.724998,37.75,38.974998,37.923138,1134520
2013-09-11,39.125,39.450001,38,38.200001,37.169056,1127718
2013-09-12,37.75,38.400002,36.5,36.650002,35.660889,841626
2013-09-13,36.875,37.299999,36.650002,36.900002,35.904144,236154
2013-09-16,37.549999,37.549999,36.799999,36.900002,35.904144,1056538
2013-09-17,37,37.174999,36.575001,36.700001,35.709545,2551904
2013-09-18,36.849998,36.849998,36.450001,36.5,35.514935,453362
2013-09-19,37,37,35.5,35.75,34.785175,731356
2013-09-20,35.5,36.474998,35.5,36,35.028431,524818
2013-09-23,36.325001,36.325001,34.924999,35.25,34.298672,560364
2013-09-24,35.25,35.25,33.400002,33.549999,32.64455,332638
2013-09-25,33.625,34,32.849998,33.924999,33.00943,1087968
2013-09-26,34.474998,35.650002,34,35.474998,34.517597,1217242
2013-09-27,35.549999,36.5,35.549999,36.174999,35.198704,1328548
2013-09-30,36.5,37.125,35.125,35.849998,34.882481,1793192
2013-10-01,36,36.349998,35,35.974998,35.004105,597746
2013-10-03,36.375,36.424999,35.599998,35.825001,34.858154,504168
2013-10-04,36,36.025002,35.125,35.224998,34.274345,598506
2013-10-07,35.974998,35.974998,34.75,35.275002,34.323002,925750
2013-10-08,35.75,35.849998,35,35.224998,34.274345,1092032
2013-10-09,35.224998,35.424999,34.650002,34.825001,33.885143,472560
2013-10-10,34.950001,35.299999,34.5,34.525002,33.593243,75436
2013-10-11,35,35,34.5,34.525002,33.593243,50374
2013-10-14,34.875,35,33.299999,33.75,32.839157,1950930
2013-10-15,33.75,33.849998,32.900002,33.450001,32.547249,724774
2013-10-17,33.5,33.875,32.799999,33.674999,32.766182,326692
2013-10-18,33.75,33.799999,33.25,33.474998,32.571571,180318
2013-10-21,33.775002,34,33.5,33.575001,32.66888,1592478
2013-10-22,33.825001,34.599998,33.224998,34.400002,33.471615,1130204
2013-10-23,34.75,35.049999,34.625,34.974998,34.031094,1165930
2013-10-24,35.349998,35.625,35,35.150002,34.201374,385830
2013-10-25,35,35.450001,34,34.825001,33.885143,1725988
2013-10-28,34.75,34.775002,34.25,34.450001,33.520267,307344
2013-10-29,34.25,34.625,31.775,34.025002,33.106735,1538526
2013-10-30,34.275002,34.275002,33.875,34,33.082405,672866
2013-10-31,34.025002,34.224998,33.5,33.924999,33.00943,99832
2013-11-01,33.900002,34.375,33.5,33.724998,32.814827,807992
2013-11-05,34.549999,37.150002,34.099998,36.599998,35.612236,480542
2013-11-06,36.75,37.75,36.75,37.325001,36.317673,767678
2013-11-07,37.674999,37.825001,36.75,37.450001,36.439297,942654
2013-11-08,37.5,37.625,36.674999,36.875,35.879818,896434
2013-11-11,37.974998,40.25,37.950001,39.849998,38.774529,1460874
2013-11-12,40.200001,41.424999,39.625,39.950001,38.87183,725448
2013-11-13,40.424999,40.424999,39.75,39.974998,38.896152,364874
2013-11-14,40,41.150002,39.025002,39.625,38.555599,459086
2013-11-18,40.200001,41.200001,39.5,40.799999,39.698891,586700
2013-11-19,41.25,43,40.75,41.599998,40.477299,683202
2013-11-20,41.450001,42.174999,41.349998,41.924999,40.793522,239914
2013-11-21,41.75,42,41,41.049999,39.942142,44780
2013-11-22,41.375,41.900002,40.525002,41.400002,40.282696,230246
2013-11-25,41.849998,41.849998,40.5,41.200001,40.088097,1095654
2013-11-26,41.599998,41.924999,40.174999,41.75,40.623249,395658
2013-11-27,41.525002,42.450001,41.525002,42.224998,41.08543,1520300
2013-11-28,42.5,42.599998,41.700001,42.049999,40.915154,780638
2013-11-29,42.325001,42.900002,42,42.575001,41.425987,5413290
2013-12-02,42.5,43.375,42.5,42.950001,41.790867,1336684
2013-12-03,42.775002,43.799999,42.775002,43.549999,42.374668,569702
2013-12-04,43.924999,44.950001,43.575001,44.349998,43.15308,746352
2013-12-05,44.75,45,44.5,44.849998,43.639587,339220
2013-12-06,45.025002,45.450001,43.525002,43.924999,42.739555,184912
2013-12-09,44.474998,44.950001,43.400002,43.825001,42.642254,612936
2013-12-10,43.549999,44.25,43.25,43.474998,42.301697,808636
2013-12-11,43.375,43.75,42.424999,42.650002,41.498966,548382
2013-12-12,42.799999,43.450001,41.775002,42.900002,41.742214,899476
2013-12-13,43.900002,43.924999,42,42.275002,41.134083,305332
2013-12-16,42.5,43.950001,42.025002,42.275002,41.134083,716164
2013-12-17,42.474998,42.825001,41.75,42.125,40.988132,455384
2013-12-18,42.700001,42.700001,41.625,41.825001,40.696228,364020
2013-12-19,42.25,42.900002,41.650002,41.950001,40.817856,724200
2013-12-20,41.875,41.900002,39.400002,41.525002,40.404324,1237188
2013-12-23,41.525002,42.424999,41.5,41.674999,40.550274,1190616
2013-12-24,42,42.224998,41.625,41.75,40.623249,992508
2013-12-26,41.900002,42.200001,41.650002,41.974998,40.842178,1647746
2013-12-27,42.299999,42.325001,41.625,41.849998,40.720547,293000
2013-12-30,42.25,42.525002,41.5,41.875,40.744877,1552700
2013-12-31,42.400002,42.450001,41.549999,41.724998,40.598927,1172906
2014-01-01,42.200001,42.200001,41.25,41.424999,40.307022,98796
2014-01-02,41.974998,41.974998,40.75,41.299999,40.185394,713630
2014-01-03,40.5,41.924999,40.5,41.25,40.136745,377156
2014-01-06,42,42.25,41.700001,42.025002,40.890827,122562
2014-01-07,42.200001,42.650002,41.775002,42.099998,40.963802,315498
2014-01-08,42.5,43.400002,42.25,43.099998,41.936813,378422
2014-01-09,43.125,45,43.125,44.849998,43.639587,614986
2014-01-10,44.674999,46.049999,44,44.474998,43.274704,1068204
2014-01-13,44.775002,46.450001,44.775002,45.950001,44.709904,412332
2014-01-14,45.599998,46.950001,45.599998,46.450001,45.196407,331554
2014-01-15,46.724998,47.349998,46.424999,46.924999,45.658585,1028586
2014-01-16,47,47.25,46.150002,46.575001,45.318031,211890
2014-01-17,46.200001,46.450001,45.349998,45.474998,44.247719,155778
2014-01-20,45.525002,46.950001,45.125,45.724998,44.490971,330866
2014-01-21,46.25,46.424999,45.275002,45.849998,44.612602,328304
2014-01-22,46,46.25,44.900002,45.974998,44.734226,572712
2014-01-23,46,46.5,46,46.25,45.001804,181916
2014-01-24,46,48.25,46,46.5,45.245056,944880
2014-01-27,45.799999,46.900002,43.974998,44.299999,43.104427,293144
2014-01-28,44.5,45.799999,44.5,45,43.785542,366720
2014-01-29,45.650002,45.700001,44.549999,44.700001,43.493637,249834
2014-01-30,45,45.099998,44.549999,44.900002,43.688236,864672
2014-01-31,44.625,45.275002,44.049999,44.325001,43.128757,477054
2014-02-03,44.25,44.625,43.625,44.349998,43.15308,116424
2014-02-04,44,44.625,43.75,44.375,43.177406,365046
2014-02-05,44.75,44.75,43.474998,43.724998,42.544949,110708
2014-02-06,44.099998,44.174999,43,43.924999,42.739555,962150
2014-02-07,44.224998,44.650002,43.724998,44.224998,43.031456,758920
2014-02-10,44.424999,44.424999,43.674999,43.900002,42.715229,78066
2014-02-11,43.924999,44.200001,43.25,43.424999,42.253044,55096
2014-02-12,43.549999,44.150002,43.125,43.299999,42.13142,34784
2014-02-13,43.974998,44.099998,43.150002,44,42.812531,222878
2014-02-14,44,44.400002,43.174999,43.674999,42.4963,453832
2014-02-17,44.724998,45.400002,43.825001,44.375,43.177406,486524
2014-02-18,43.924999,45.575001,43.900002,44.674999,43.469311,197912
2014-02-19,44.825001,45.75,44,44.625,43.420662,154164
2014-02-20,45,45.950001,44.650002,44.900002,43.688236,583542
2014-02-21,44.875,45.599998,44.75,45.125,43.907166,228662
2014-02-24,45.450001,45.875,45,45.450001,44.223396,87514
2014-02-25,45.599998,46.5,45.174999,46,44.758549,181260
2014-02-26,46.200001,46.900002,46.049999,46.825001,45.561287,685530
2014-02-28,46.924999,47.125,46.25,46.599998,45.342354,282624
2014-03-03,47.150002,48,46.275002,46.900002,45.634262,293054
2014-03-04,47.049999,48.5,47,47.625,46.339695,585052
2014-03-05,47.875,47.974998,47.099998,47.275002,45.999138,130270
2014-03-06,46.525002,47.875,46.525002,47.125,45.853191,104286
2014-03-07,47.174999,47.75,45.525002,47.474998,46.193745,1091784
2014-03-10,47.5,48.075001,46.650002,46.875,45.60994,129496
2014-03-11,46.950001,47.075001,45.775002,46.025002,44.782883,200582
2014-03-12,46,46.825001,45.775002,46.275002,45.026131,280244
2014-03-13,46.049999,46.599998,45.025002,45.424999,44.19907,199788
2014-03-14,45.450001,46.099998,44.950001,45.974998,44.734226,731026
2014-03-18,47.349998,47.349998,46.325001,47,45.731564,175332
2014-03-19,47,47.200001,46.025002,46.224998,44.977478,204884
2014-03-20,46.25,47.099998,45.625,45.974998,44.734226,241738
2014-03-21,46.224998,46.5,45.349998,46.474998,45.22073,547970
2014-03-24,46.075001,47.075001,46,46.474998,45.22073,201160
2014-03-25,46,47.075001,46,46.799999,45.536961,775868
2014-03-26,46.75,47.5,46.549999,47.200001,45.926163,1228062
2014-03-27,47,47.849998,45.650002,46.025002,44.782883,1205064
2014-03-28,46.474998,47.224998,46.299999,46.75,45.488308,1014934
